Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Dooho Choi,Thiago Tavares,-220,180,Red
Joaquim Silva,Andrew Holbrook,115,-135,Red
Gray Maynard,Fernando Bruno,-165,145,Red
John Moraga,Matheus Nicolau,-140,120,Blue
Cory Hendricks,Josh Stansbury,-145,125,Blue
Cezar Ferreira,Anthony Smith,-115,-105,Red
Jake Matthews,Kevin Lee,-160,140,Blue
Li Jingliang,Anton Zafir,-310,255,Red
Rafael Dos Anjos,Eddie Alvarez,-290,245,Blue
Roy Nelson,Derrick Lewis,-130,110,Blue
Alan Jouban,Belal Muhammad,-145,125,Red
Joe Duffy,Mitch Clarke,-440,390,Red
Mike Pyle,Alberto Mina,-125,105,Blue
John Makdessi,Mehdi Baghdad,-130,110,Red
Anthony Birchak,Dileno Lopes,-250,210,Red
Russell Doane,Pedro Munhoz,200,-240,Blue
Felipe Arantes,Jerrod Sanders,-155,135,Red
Gilbert Burns,Lukasz Sajewski,-265,225,Red
Marco Beltran,Reginaldo Vieira,105,-125,Red
Vicente Luque,Alvaro Herrera,-375,313,Red
Rory MacDonald,Stephen Thompson,-105,-115,Blue
Donald Cerrone,Patrick Cote,-170,150,Red
Steve Bosse,Sean O'Connell,-135,115,Red
Olivier Aubin-Mercier,Thibault Gouti,-470,375,Red
Valerie Letourneau,Joanne Calderwood,-150,130,Blue
Jason Saggo,Leandro Silva,-115,-105,Red
Misha Cirkunov,Ion Cutelaba,-220,180,Red
Tamdan McCrory,Krzysztof Jotko,-170,150,Blue
Chris Beal,Joe Soto,105,-125,Blue
Elias Theodorou,Sam Alvey,-235,195,Red
Randa Markos,Jocelyn Jones-Lybarger,-115,-105,Red
Colby Covington,Jonathan Meunier,-235,195,Red
Ali Bagautinov,Geane Herrera,-260,220,Red
Luke Rockhold,Michael Bisping,-750,525,Blue
Dominick Cruz,Urijah Faber,-380,315,Red
Max Holloway,Ricardo Lamas,-270,230,Red
Dan Henderson,Hector Lombard,265,-325,Red
Dustin Poirier,Bobby Green,-185,160,Red
Brian Ortega,Clay Guida,-235,195,Red
Beneil Dariush,James Vick,-140,120,Red
Jessica Penne,Jessica Andrade,110,-130,Blue
Cole Miller,Alex Caceres,-165,145,Blue
Sean Strickland,Tom Breese,-110,-110,Red
Jonathan Wilson,Henrique da Silva,-165,145,Blue
Polo Reyes,Dong Hyun Ma,-115,-105,Red
Thomas Almeida,Cody Garbrandt,-200,170,Blue
Renan Barao,Jeremy Stephens,-150,130,Blue
Tarec Saffiedine,Rick Story,115,-135,Blue
Chris Camozzi,Vitor Miranda,125,-145,Red
Jorge Masvidal,Lorenz Larkin,-115,-105,Blue
Joshua Burkman,Paul Felder,245,-290,Blue
Sara McMann,Jessica Eye,-125,105,Red
Abel Trujillo,Jordan Rinaldi,-320,260,Red
Jake Collier,Alberto Uda,110,-130,Red
Erik Koch,Shane Campbell,120,-140,Red
Aljamain Sterling,Bryan Caraway,-310,255,Blue
Chris de la Rocha,Adam Milstead,245,-290,Blue
Fabricio Werdum,Stipe Miocic,-185,160,Blue
Jacare Souza,Vitor Belfort,-280,240,Red
Cris Cyborg,Leslie Smith,-1500,1200,Red
Mauricio Rua,Corey Anderson,140,-160,Red
Warlley Alves,Bryan Barberena,-600,450,Blue
Demian Maia,Matt Brown,-350,290,Red
Thiago Santos,Nate Marquardt,-360,300,Red
Francisco Trinaldo,Yancy Medeiros,-275,235,Red
John Lineker,Rob Font,-145,125,Red
Rogerio Nogueira,Patrick Cummins,195,-235,Red
Renato Moicano,Zubaira Tukhugov,100,-120,Red
Alistair Overeem,Andrei Arlovski,-240,200,Red
Antonio Silva,Stefan Struve,185,-225,Blue
Albert Tumenov,Gunnar Nelson,-155,135,Blue
Germaine de Randamie,Anna Elmose,-400,325,Red
Nikita Krylov,Francimar Barroso,-200,170,Red
Karolina Kowalkiewicz,Heather Jo Clark,-320,260,Red
Rustam Khabilov,Chris Wade,-165,145,Red
Magnus Cedenblad,Garreth McLellan,-250,210,Red
Jon Tuck,Josh Emmett,-110,-110,Blue
Yan Cabral,Reza Madadi,-160,140,Blue
Kyoji Horiguchi,Neil Seery,-600,450,Red
Leon Edwards,Dominic Waters,-270,230,Red
Ulka Sasaki,Willie Gates,-135,115,Red
Jon Jones,Ovince Saint Preux,-720,510,Red
Demetrious Johnson,Henry Cejudo,-340,280,Red
Anthony Pettis,Edson Barboza,-190,165,Blue
Robert Whittaker,Rafael Natal,-325,265,Red
Yair Rodriguez,Andre Fili,-110,-110,Red
Sergio Pettis,Chris Kelades,-225,185,Red
Danny Roberts,Dominique Steele,-355,295,Red
Carla Esparza,Juliana Lima,-190,165,Red
Glaico Franca,James Vick,170,-200,Blue
Walt Harris,Cody East,160,-185,Red
Marcos Rogerio de Lima,Clint Hester,-120,100,Red
Efrain Escudero,Kevin Lee,300,-360,Blue
Glover Teixeira,Rashad Evans,-225,185,Red
Rose Namajunas,Tecia Torres,-160,140,Red
Khabib Nurmagomedov,Darrell Horcher,-1000,650,Red
Cub Swanson,Hacran Dias,-115,-105,Red
Beneil Dariush,Michael Chiesa,-165,145,Blue
Bethe Correia,Raquel Pennington,180,-220,Blue
Court McGee,Santiago Ponzinibbio,100,-120,Blue
Randy Brown,Michael Graves,125,-145,Blue
John Dodson,Manvel Gamburyan,-450,400,Red
Oluwale Bamgbose,Cezar Ferreira,-185,160,Blue
Elizeu Zaleski dos Santos,Omari Akhmedov,125,-145,Red
Ben Rothwell,Junior Dos Santos,-105,-115,Blue
Derrick Lewis,Gabriel Gonzaga,-150,130,Red
Francis Ngannou,Curtis Blaydes,140,-160,Red
Tim Johnson,Marcin Tybura,-110,-110,Red
Igor Pokrajac,Jan Blachowicz,280,-340,Blue
Maryna Moroz,Cristina Stanciu,-170,150,Red
Nicolas Dalby,Zak Cummings,-105,-115,Blue
Ian Entwistle,Alejandro Perez,-150,130,Blue
Mairbek Taisumov,Damir Hadzovic,-320,260,Red
Filip Pejic,Damian Stasiak,-110,100,Blue
Rob Whiteford,Lucas Martins,-110,-110,Blue
Jared Cannonier,Cyril Asker,-135,115,Red
Alessio Di Chirico,Bojan Velickovic,155,-175,Blue
Mark Hunt,Frank Mir,-150,130,Red
Hector Lombard,Neil Magny,100,-120,Blue
Jake Matthews,Johnny Case,105,-125,Red
Daniel Kelly,Antonio Carlos Junior,385,-485,Red
James Te Huna,Steve Bosse,-255,215,Blue
Bec Rawlings,Seohee Ham,-110,-110,Red
Brendan O'Reilly,Alan Jouban,415,-525,Blue
Dan Hooker,Mark Eddiva,-160,150,Red
Leslie Smith,Rin Nakai,-130,110,Red
Richard Walsh,Viscardi Andrade,-125,105,Blue
Ross Pearson,Chad Laprise,-105,-115,Red
Alan Patrick,Damien Brown,-300,250,Red
Conor McGregor,Nate Diaz,-425,340,Blue
Holly Holm,Miesha Tate,-300,250,Blue
Gian Villante,Ilir Latifi,160,-185,Blue
Corey Anderson,Tom Lawlor,-250,210,Red
Amanda Nunes,Valentina Shevchenko,-105,-115,Red
Brandon Thatch,Siyar Bahadurzada,-335,275,Blue
Erick Silva,Nordine Taleb,-225,185,Blue
Vitor Miranda,Marcelo Guimaraes,-300,250,Red
Darren Elkins,Chas Skelly,155,-175,Red
Diego Sanchez,Jim Miller,160,-185,Red
Jason Saggo,Justin Salas,-190,165,Red
Julian Erosa,Teruto Ishihara,-175,155,Blue
Anderson Silva,Michael Bisping,-275,235,Blue
Gegard Mousasi,Thales Leites,-300,250,Red
Tom Breese,Keita Nakamura,-1165,750,Red
Francisco Rivera,Brad Pickett,-155,135,Blue
Mike Wilkinson,Makwan Amirkhani,160,-185,Blue
Davey Grant,Marlon Vera,-185,160,Red
Scott Askham,Chris Dempsey,-360,300,Red
Arnold Allen,Yaotzin Meza,-340,280,Red
Bradley Scott,Krzysztof Jotko,135,-155,Blue
Norman Parke,Rustam Khabilov,170,-200,Blue
Daniel Omielanczuk,Jarjis Danho,-110,-110,Red
Teemu Packalen,Thibault Gouti,100,-110,Red
David Teymur,Martin Svensson,-115,-105,Red
Donald Cerrone,Alex Oliveira,-270,230,Red
Derek Brunson,Roan Carneiro,-365,305,Red
Cody Garbrandt,Augusto Mendes,-450,360,Red
Dennis Bermudez,Tatsuya Kawajiri,-355,295,Red
Chris Camozzi,Joe Riggs,-225,185,Red
James Krause,Shane Campbell,-185,160,Red
Alex Garcia,Sean Strickland,-105,-115,Blue
Daniel Sarafian,Oluwale Bamgbose,-130,110,Blue
Anthony Smith,Leonardo Augusto Leleco,-135,115,Red
Jonavin Webb,Nathan Coy,-260,220,Blue
Marion Reneau,Ashlee Evans-Smith,-190,165,Blue
Lauren Murphy,Kelly Faszholz,-310,255,Red
Anthony Hamilton,Shamil Abdurakhimov,105,-125,Blue
Johny Hendricks,Stephen Thompson,-290,245,Blue
Roy Nelson,Jared Rosholt,-115,-105,Red
Ovince Saint Preux,Rafael Feijao,-420,335,Red
Joseph Benavidez,Zach Makovsky,-420,335,Red
Misha Cirkunov,Alex Nicholson,-700,500,Red
Mike Pyle,Sean Spencer,135,-155,Red
Joshua Burkman,KJ Noons,-130,110,Red
Derrick Lewis,Damian Grabowski,-105,-115,Red
Ray Borg,Justin Scoggins,-185,160,Blue
Noad Lahat,Diego Rivas,-350,290,Blue
Mickey Gall,Mike Jackson,-525,450,Red
Artem Lobov,Alex White,-135,115,Blue
Anthony Johnson,Ryan Bader,-250,210,Red
Josh Barnett,Ben Rothwell,-140,120,Blue
Iuri Alcantara,Jimmie Rivera,150,-170,Blue
Sage Northcutt,Bryan Barberena,-275,235,Blue
Tarec Saffiedine,Jake Ellenberger,-265,225,Red
Olivier Aubin-Mercier,Diego Ferreira,-260,220,Blue
Rafael Natal,Kevin Casey,-175,155,Red
Dustin Ortiz,Wilson Reis,-275,235,Blue
George Sullivan,Alexander Yakovlev,-115,-105,Blue
Alex Caceres,Masio Fullen,-290,245,Red
Matt Dwyer,Randy Brown,125,-145,Blue
Anthony Rocco Martin,Felipe Olivieri,-155,135,Red
TJ Dillashaw,Dominick Cruz,-155,135,Blue
Anthony Pettis,Eddie Alvarez,-360,300,Blue
Travis Browne,Matt Mitrione,-170,150,Red
Ross Pearson,Francisco Trinaldo,-150,130,Blue
Patrick Cote,Ben Saunders,130,-150,Red
Tim Boetsch,Ed Herman,-170,150,Blue
Chris Wade,Mehdi Baghdad,-470,375,Red
Maximo Blanco,Luke Sanders,-125,105,Blue
Paul Felder,Daron Cruickshank,-240,200,Red
Ilir Latifi,Sean O'Connell,-265,245,Red
Charles Rosa,Kyle Bochniak,-255,215,Red
Rob Font,Joey Gomez,-220,180,Red
Francimar Barroso,Elvis Mutapcic,140,-160,Red
Robbie Lawler,Carlos Condit,-115,-105,Red
Stipe Miocic,Andrei Arlovski,-240,220,Red
Lorenz Larkin,Albert Tumenov,210,-250,Blue
Diego Brandao,Brian Ortega,145,-165,Blue
Abel Trujillo,Tony Sims,135,-155,Red
Michael McDonald,Masanori Kanehara,-600,450,Red
Kyle Noke,Alex Morono,-370,310,Blue
Justine Kish,Nina Ansaroff,-220,180,Red
Scott Holtzman,Drew Dober,-220,180,Blue
Dustin Poirier,Joe Duffy,130,-150,Red
Joe Soto,Michinori Tanaka,120,-140,Blue
Sheldon Westcott,Edgar Garcia,-165,145,Red
Rafael Dos Anjos,Donald Cerrone,-170,150,Red
Junior Dos Santos,Alistair Overeem,-235,195,Blue
Michael Johnson,Nate Diaz,-360,300,Blue
Randa Markos,Karolina Kowalkiewicz,-165,145,Blue
Charles Oliveira,Myles Jury,145,-165,Red
CB Dollaway,Nate Marquardt,-440,350,Blue
Sarah Kaufman,Valentina Shevchenko,-115,-105,Blue
Josh Samman,Tamdan McCrory,-220,180,Blue
Nik Lentz,Danny Castillo,-140,120,Red
Kamaru Usman,Leon Edwards,-240,200,Red
Hayder Hassan,Vicente Luque,110,-130,Blue
Francis Ngannou,Luis Henrique,-140,120,Red
Jose Aldo,Conor McGregor,-115,-105,Blue
Chris Weidman,Luke Rockhold,-150,130,Blue
Jacare Souza,Yoel Romero,-140,120,Blue
Demian Maia,Gunnar Nelson,105,-125,Red
Max Holloway,Jeremy Stephens,-450,360,Red
Urijah Faber,Frankie Saenz,-490,390,Red
Tecia Torres,Jocelyn Jones-Lybarger,-290,245,Red
Warlley Alves,Colby Covington,105,-125,Red
Leonardo Santos,Kevin Lee,475,-650,Red
Joe Proctor,Magomed Mustafaev,300,-360,Blue
John Makdessi,Yancy Medeiros,-170,150,Blue
Court McGee,Marcio Alexandre Junior,-165,145,Red
Frankie Edgar,Chad Mendes,-135,115,Red
Artem Lobov,Ryan Hall,-165,145,Blue
Edson Barboza,Tony Ferguson,130,-150,Blue
Joe Lauzon,Evan Dunham,165,-190,Blue
Tatsuya Kawajiri,Jason Knight,-275,235,Red
Julian Erosa,Marcin Wrzosek,105,-125,Red
Gabriel Gonzaga,Konstantin Erokhin,120,-140,Red
Ryan LaFlare,Mike Pierce,-220,180,Red
Joby Sanchez,Geane Herrera,110,-130,Blue
Chris Gruetzemacher,Abner Lloveras,-145,125,Red
Rose Namajunas,Paige VanZant,120,-140,Red
Jim Miller,Michael Chiesa,130,-150,Blue
Sage Northcutt,Cody Pfister,-1000,650,Red
Elias Theodorou,Thiago Santos,-225,185,Blue
Tim Means,John Howard,-410,330,Red
Omari Akhmedov,Sergio Moraes,-145,125,Blue
Aljamain Sterling,Johnny Eduardo,-640,470,Red
Santiago Ponzinibbio,Andreas Stahl,-170,150,Red
Danny Roberts,Nathan Coy,-150,140,Red
Zubaira Tukhugov,Phillipe Nover,-355,295,Red
Kailin Curran,Emily Peters Kagan,-360,300,Red
Benson Henderson,Jorge Masvidal,-230,190,Red
Dong Hyun Kim,Dominic Waters,-800,550,Red
Yoshihiro Akiyama,Alberto Mina,-145,125,Blue
Dooho Choi,Sam Sicilia,-250,210,Red
Dongi Yang,Jake Collier,105,-125,Red
Yui Chul Nam,Mike de la Torre,-115,-105,Blue
Tae Hyun Bang,Leo Kuntz,270,-330,Red
Seohee Ham,Cortney Casey,120,-140,Red
Yao Zhikui,Fredy Serrano,135,-155,Blue
Ning Guangyou,Marco Beltran,-160,140,Blue
Dominique Steele,Dong Hyun Ma,-130,110,Red
Neil Magny,Kelvin Gastelum,270,-330,Red
Ricardo Lamas,Diego Sanchez,-440,350,Red
Jussier Formiga,Henry Cejudo,425,-550,Blue
Erick Montano,Enrique Marin,-230,190,Red
Horacio Gutierrez,Enrique Barzola,-210,175,Blue
Efrain Escudero,Leandro Silva,130,-150,Blue
Erik Perez,Taylor Lapilus,-150,130,Red
Hector Urbina,Bartosz Fabinski,155,-175,Blue
Alejandro Perez,Scott Jorgensen,115,-135,Red
Gabriel Benitez,Andre Fili,190,-230,Blue
Vernon Ramos,Alvaro Herrera,-170,150,Blue
Cesar Arzamendia,Polo Reyes,-190,165,Blue
Valmir Lazaro,Michel Prazeres,115,-135,Blue
Ronda Rousey,Holly Holm,-750,525,Blue
Joanna Jedrzejczyk,Valerie Letourneau,-1400,925,Red
Mark Hunt,Antonio Silva,-290,245,Red
Uriah Hall,Robert Whittaker,-155,135,Blue
Stefan Struve,Jared Rosholt,-160,140,Blue
Jake Matthews,Akbarh Arreola,-1000,650,Red
Kyle Noke,Peter Sobotta,205,-245,Red
Anthony Perosh,Gian Villante,450,-600,Blue
Richie Vaculik,Danny Martinez,-135,115,Blue
Daniel Kelly,Steve Montgomery,230,-270,Red
Richard Walsh,Steve Kennedy,-420,335,Red
James Moontasri,Anton Zafir,-400,325,Red
Ben Nguyen,Ryan Benoit,-130,110,Red
Vitor Belfort,Dan Henderson,-320,270,Red
Glover Teixeira,Patrick Cummins,-525,415,Red
Thomas Almeida,Anthony Birchak,-525,415,Red
Alex Oliveira,Piotr Hallmann,-280,240,Red
Gilbert Burns,Rashid Magomedov,155,-175,Blue
Fabio Maldonado,Corey Anderson,500,-700,Blue
Gleison Tibau,Abel Trujillo,-130,110,Blue
Yan Cabral,Johnny Case,170,-200,Blue
Clay Guida,Thiago Tavares,-170,160,Blue
Kevin Souza,Chas Skelly,160,-185,Blue
Viscardi Andrade,Gasan Umalatov,110,-130,Red
Pedro Munhoz,Jimmie Rivera,-170,150,Blue
Bruno Korea,Matheus Nicolau,165,-190,Blue
Paddy Holohan,Louis Smolka,160,-185,Blue
Norman Parke,Reza Madadi,-240,200,Red
Neil Seery,Jon Delos Reyes,-130,110,Red
Stevie Ray,Mickael Lebout,-550,425,Red
Aisling Daly,Ericka Almeida,100,-120,Red
Scott Askham,Krzysztof Jotko,-145,125,Blue
Cathal Pendred,Tom Breese,240,-280,Blue
Darren Elkins,Rob Whiteford,-155,135,Red
Bubba Bush,Garreth McLellan,-330,270,Blue
Daniel Cormier,Alexander Gustafsson,-255,215,Red
Ryan Bader,Rashad Evans,115,-135,Red
Shawn Jordan,Ruslan Magomedov,165,-190,Blue
Joseph Benavidez,Ali Bagautinov,-340,280,Red
Jessica Eye,Julianna Pena,220,-260,Blue
Yair Rodriguez,Dan Hooker,-270,230,Red
Alan Jouban,Albert Tumenov,220,-260,Blue
Adriano Martins,Islam Makhachev,110,-130,Red
Rose Namajunas,Angela Hill,-265,245,Red
Francisco Trevino,Sage Northcutt,375,-470,Blue
Chris Cariaso,Sergio Pettis,170,-200,Blue
Derrick Lewis,Viktor Pesta,150,-170,Red
Josh Barnett,Roy Nelson,-345,285,Red
Gegard Mousasi,Uriah Hall,-400,325,Blue
Kyoji Horiguchi,Chico Camus,-420,335,Red
Takeya Mizugaki,George Roop,-240,200,Red
Katsunori Kikuno,Diego Brandao,210,-230,Blue
Keita Nakamura,Li Jingliang,255,-310,Red
Nick Hein,Yusuke Kasuya,-365,305,Red
Naoyuki Kotani,Kajan Johnson,260,-320,Blue
Shinsho Anzai,Roger Zapata,-115,-105,Red
Demetrious Johnson,John Dodson,-560,430,Red
Andrei Arlovski,Frank Mir,-155,135,Red
Anthony Johnson,Jimi Manuwa,-750,525,Red
Jan Blachowicz,Corey Anderson,-105,-115,Blue
Paige VanZant,Alex Chambers,-1500,1000,Red
Ross Pearson,Paul Felder,350,-440,Red
Francisco Rivera,John Lineker,130,-150,Blue
Jessica Andrade,Raquel Pennington,-170,150,Blue
Clay Collard,Tiago Trator,-145,125,Blue
Joe Riggs,Ron Stallings,195,-235,Red
Joaquim Silva,Nazareno Malegarie,105,-125,Red
Max Holloway,Charles Oliveira,-255,215,Red
Neil Magny,Erick Silva,170,-200,Red
Patrick Cote,Joshua Burkman,150,-170,Red
Chad Laprise,Francisco Trinaldo,-460,365,Blue
Olivier Aubin-Mercier,Tony Sims,-200,170,Red
Maryna Moroz,Valerie Letourneau,-265,225,Blue
Sam Stout,Frankie Perez,135,-145,Blue
Yves Jabouin,Felipe Arantes,220,-260,Blue
Marcos Rogerio de Lima,Nikita Krylov,-150,130,Blue
Chris Kelades,Chris Beal,140,-160,Red
Shane Campbell,Elias Silverio,210,-250,Red
Misha Cirkunov,Daniel Jolly,-570,435,Red
Glover Teixeira,Ovince Saint Preux,120,-140,Red
Michael Johnson,Beneil Dariush,-140,120,Blue
Derek Brunson,Sam Alvey,-380,315,Red
Jared Rosholt,Tim Johnson,-245,205,Red
Sara McMann,Amanda Nunes,-260,220,Blue
Ray Borg,Geane Herrera,-440,350,Red
