Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Sean Brady,Ismail Naurdiev,105,-125,Red
Paul Felder,Dan Hooker,130,-150,Blue
Jim Crute,Michal Oleksiejczuk,100,-120,Red
Karolina Kowalkiewicz,Yan Xiaonan,225,-265,Blue
Ben Sosoli,Marcos Rogerio De Lima,130,-150,Blue
Brad Riddell,Magomed Mustafaev,120,-140,Red
Kevin Aguilar,Zubaira Tukhugov,-115,-105,Blue
Jalin Turner,Joshua Culibao,-210,175,Red
Jake Matthews,Emil Meek,-200,170,Red
Callan Potter,Song Kenan,170,-200,Blue
Kai Kara France,Tyson Nam,-260,220,Red
Loma Lookboonmee,Angela Hill,155,-175,Blue
Priscila Cachoeira,Shana Dobson,180,-220,Red
Francis Ngannou,Junior Dos Santos,-220,180,Red
Jussier Formiga,Joseph Benavidez,105,-125,Blue
Demian Maia,Rocco Martin,-190,165,Red
Roosevelt Roberts,Vinc Pichel,-245,205,Blue
Drew Dober,Marco Polo Reyes,-430,345,Red
Alonzo Menifield,Paul Craig,-350,290,Red
Ricardo Ramos,Journey Newson,-380,315,Red
Eryk Anders,Vinicius Moreira,-300,250,Red
Jared Gordon,Dan Moret,-350,290,Red
Dalcha Lungiambula,Dequan Townsend,-420,335,Red
Emily Whitmire,Amanda Ribas,-175,155,Blue
Maurice Greene,Junior Albini,-125,105,Red
Renato Moicano,Chan Sung Jung,-220,180,Blue
Bryan Barberena,Randy Brown,-235,195,Blue
Andre Ewell,Anderson Dos Santos,-140,120,Red
Andrea Lee,Montana De La Rosa,-185,160,Red
Kevin Holland,Alessio Di Chirico,-230,190,Red
Dan Ige,Kevin Aguilar,120,-140,Red
Ashley Yoder,Syuri Kondo,-140,120,Red
Matt Wiman,Luis Pena,315,-380,Blue
Allen Crowder,Jairzinho Rozenstruik,190,-230,Blue
Ariane Lipski,Molly McCann,-255,215,Blue
Deron Winn,Eric Spicely,-360,300,Red
Jon Jones,Thiago Santos,-670,485,Red
Amanda Nunes,Holly Holm,-360,300,Red
Jorge Masvidal,Ben Askren,180,-220,Red
Jan Blachowicz,Luke Rockhold,220,-260,Red
Diego Sanchez,Michael Chiesa,315,-380,Blue
Gilbert Melendez,Arnold Allen,260,-320,Blue
Marlon Vera,Nohelin Hernandez,-470,375,Red
Caludia Gadelha,Randa Markos,-200,170,Red
Alejandro Perez,Song Yadong,185,-225,Blue
Edmen Shahbazyan,Jack Marshman,-570,480,Red
Ismail Naurdiev,Chance Rencountre,-570,435,Blue
Julia Avila,Pannie Kianzad,-250,210,Red
Corey Anderson,Jan Blachowicz,-235,195,Blue
Diego Sanchez,Michel Pereira,135,-155,Red
Montana De La Rosa,Mara Romero Borella,-175,155,Red
Brok Weaver,Kazula Vargas,-270,230,Red
Rogerio Bontorin,Ray Borg,130,-150,Blue
Lando Vannata,Yancy Medeiros,-120,100,Red
Tim Means,Daniel Rodriguez,-345,285,Blue
John Dodson,Nathaniel Wood,130,-150,Red
Jim Miller,Scott Holtzman,115,-135,Blue
Devin Clark,Dequan Townsend,-400,325,Red
Casey Kenney,Merab Dvalishvili,150,-170,Blue
Macy Chiasson,Shanna Young,-800,550,Red
Mark De La Rosa,Raulian Paiva,205,-245,Blue
Germaine De Randamie,Aspen Ladd,100,-120,Red
Urijah Faber,Ricky Simon,320,-355,Red
Josh Emmett,Mirsad Bektic,150,-170,Red
Karl Roberson,Wellington Turman,-220,180,Red
Marvin Vettori,Cezar Ferreira,-220,180,Red
Andre Fili,Sheymon Moraes,-160,140,Red
Julianna Pena,Nicco Montano,-250,210,Red
Darren Elkins,Ryan Hall,-115,-105,Blue
Liu Pingyuan,Jonathan Martinez,-220,180,Blue
Livinha Souza,Brianna Van Buren,-115,-105,Blue
Benito Lopez,Vince Morales,-105,-105,Red
Rafael Dos Anjos,Leon Edwards,-110,-110,Blue
Aleksei Oleinik,Walt Harris,130,-150,Blue
Greg Hardy,Juan Adams,-105,-115,Red
James Vick,Dan Hooker,105,-125,Blue
Alexander Hernandez,Francisco Trinaldo,-250,210,Red
Andrei Arlovski,Ben Rothwell,155,-175,Red
Alex Caceres,Steven Peterson,-115,-105,Red
Raquel Pennington,Irene Aldana,115,-135,Red
Sam Alvey,Klidson Abreu,145,-165,Blue
Roxanne Modafferi,Jennifer Maia,110,-130,Blue
Ray Borg,Gabriel Silva,-185,160,Red
Mario Bautista,Jin Soo Son,150,-170,Red
Domingo Pilarte,Felipe Colares,-400,325,Blue
Max Holloway,Frankie Edgar,-335,275,Red
Cris Cyborg,Felicia Spencer,-380,315,Red
Geoff Neal,Niko Price,-335,275,Red
Olivier Aubin-Mercier,Arman Tsarukyan,145,-165,Blue
Marc-Andre Barriault,Krzystof Jotko,145,-165,Blue
Alexis Davis,Viviane Araujo,165,-190,Blue
Hakeem Dawodu,Yoshinori Horie,-440,350,Red
Gavin Tucker,Seungwoo Choi,120,-140,Red
Alexandre Pantoja,Deiveson Figueiredo,-140,120,Blue
Gillian Robertson,Sarah Frota,-150,130,Red
Erik Koch,Kyle Stewart,-140,120,Red
Colby Covington,Robbie Lawler,-300,250,Red
Jim Miller,Clay Guida,-140,130,Red
Joaquim Silva,Nasrat Haqparast,315,-380,Blue
Trevin Giles,Gerald Meerschaert,-170,150,Blue
Scott Holtzman,Dong Hyun Ma,-390,320,Red
Darko Stosic,Kennedy Nzechukwu,-120,100,Blue
Mickey Gall,Salim Touahri,100,-120,Red
Antonina Shevchenko,Lucie Pudilova,-160,140,Red
Jordan Espinosa,Matt Schnell,-155,145,Blue
Lauren Murphy,Mara Romero Borella,180,-220,Red
Claudio Silva,Cole Williams,-550,425,Red
Miranda Granger,Hannah Goldy,-105,-115,Red
Jon Jones,Dominick Reyes,-460,365,Red
Valentina Shevchenko,Katlyn Chookagian,-920,610,Red
Juan Adams,Justin Tafa,-240,200,Blue
Mirsad Bektic,Dan Ige,-125,105,Blue
Derrick Lewis,Ilir Latifi,-225,185,Red
Trevin Giles,James Krause,-170,130,Red
Alex Morono,Kalinn Williams,-345,285,Blue
Lauren Murphy,Andrea Lee,260,-320,Red
Miles Johns,Mario Bautista,-132,112,Blue
Domingo Pilarte,Journey Newson,-125,105,Blue
Andre Ewell,Jonathan Martinez,-133,113,Red
Austin Lingo,Youssef Zalel,-210,175,Blue
Valentina Shevchenko,Liz Carmouche,-1100,700,Red
Vincente Luque,Mike Perry,-250,210,Red
Luiz Garagorri,Humberto Bandenay,-145,125,Red
Volkan Oezdemir,Ilir Latifi,-190,165,Red
Rodolfo Vieira,Oskar Piechota,-225,185,Red
Enrique Barzola,Bobby Moffett,-165,145,Red
Gilbert Burns,Aleksei Kunchenko,120,-140,Red
Ciryl Gane,Raphael Pessoa Nunes,-470,375,Red
Tecia Torres,Marina Rodriguez,-160,140,Blue
Rogerio Bontorin,Raulian Paiva,100,-120,Red
